x,y
62,94539
31,97057
31,116161
50,106979
63,102097
28,98779
30,95528
46,70910
49,100005
48,80732
29,85089
28,107974
52,91822
48,96712
38,82833
31,90541
50,102658
28,80208
25,99938
35,86507
56,79405
39,92917
57,88787
43,97474
61,103877
51,92536
62,79013
53,84891
57,97409
63,76469
53,91478
58,82230
65,95833
64,96719
31,96877
45,76779
63,74674
64,88338
54,97943
43,111030
26,107168
52,101079
59,99327
37,100154
43,102183
35,113574
49,95506
36,100824
32,95048
26,93027
61,98397
27,97147
35,92509
59,85662
27,95243
29,91104
53,92125
27,104266
64,94090
45,85492
63,84830
35,99916
42,97742
47,97733
56,101838
37,107483
35,88750
63,89716
34,107689
59,81350
62,104313
58,94358
40,74715
45,90622
64,71720
37,105552
54,98005
53,98493
26,90011
25,105710
55,82742
32,90111
30,96829
59,102068
46,100245
49,109573
36,98376
34,93644
40,98910
54,95389
44,101493
59,87600
52,88199
27,95675
59,112617
38,105812
58,99078
59,109819
46,98808
25,88206
36,107599
55,78933
63,91690
34,90040
29,86811
58,101718
48,76348
33,102222
33,80337
65,94139
55,78939
29,77846
50,105675
41,94156
59,91143
63,96508
59,88841
33,102912
58,89958
53,121844
28,113304
65,86436
33,58008
61,98570
30,94839
60,102305
36,98633
41,111959
37,122409
62,112081
63,120107
42,95470
47,101284
34,107805
47,74066
34,106375
27,87650
57,98492
36,116687
40,86538
32,94554
45,83497
57,105272
49,79928
56,96395
45,103160
47,81980
51,102212
64,103202
59,108997
38,119088
43,100143
26,98049
26,91269
48,103169
35,100603
28,99965
30,87351
50,94846
40,89953
39,97127
58,84639
49,95781
56,80887
34,86266
54,95179
54,85012
38,95566
56,94851
44,106577
48,104136
57,105595
47,90198
33,110631
33,76709
25,93691
30,99668
64,114861
42,83195
25,93249
40,86853
43,90989
28,97436
34,82912
58,104435
34,94929
31,120897
58,105350
53,100502
26,85671
59,77771
54,94459
55,102809
40,78878
42,104399
50,100371
51,93250
55,108373
62,104386
59,98511
44,92286
64,77355
50,84388
64,88800
33,106481
56,98216
30,110923
58,100895
62,88813
39,90000
48,109403
35,93906
38,101540
63,92302
53,82490
59,89717
40,85245
63,114100
60,107271
35,92737
41,84847
26,94627
29,117970
54,86037
53,108769
40,97007
64,72714
33,98965
59,104482
30,100897
49,104786
61,91955
40,88571
36,68250
28,82317
52,95654
48,92682
45,85966
29,83137
40,103568
42,88045
34,76754
28,83523
37,99538
33,90013
42,76910
51,111800
37,105580
54,118367
52,86464
59,102188
50,112139
26,90579
60,106104
31,79202
60,89985
62,76415
50,90393
29,101234
54,83118
28,113800
31,77513
35,118353
30,104606
43,101475
46,86674
37,111863
61,83531
46,90244
33,104777
27,94793
57,97097
42,97337
47,86816
32,92834
29,96464
27,111379
52,91668
32,105344
44,99829
53,81989
61,102937
34,96064
62,93650
46,93778
49,90770
30,97125
61,100963
28,104519
40,94592
37,89837
64,98150
59,86035
64,85207
38,102490
63,97340
65,108208
60,95962
37,102998
32,89835
31,84476
49,98340
47,105577
30,90227
63,107245
37,106926
40,93498
59,72084
35,97067
50,89517
44,104465
34,85008
30,79216
29,114391
47,107439
53,118918
49,86086
52,94890
50,91696
42,106526
26,99854
63,81747
26,99669
43,96968
52,87347
41,79491
62,85292
44,77394
38,114457
56,85471
60,111071
56,63112
62,99839
56,96296
48,107315
58,108981
53,87291
34,117133
57,88159
58,100333
59,108882
56,88911
26,101289
33,100869
26,83543
39,105978
29,106128
34,94251
28,98370
43,97619
47,91296
42,107248
40,106696
28,118299
35,92573
58,110117
61,90900
50,87429
62,77878
30,85397
54,91216
51,111387
34,98402
41,107178
44,112650
45,96603
44,89710
38,111059
34,83911
53,81039
32,107870
48,99903
63,81041
33,86730
32,111045
28,90822
35,100251
53,88733
36,105578
37,83818
62,103098
43,69718
37,91082
31,82856
26,96623
56,123784
65,94465
64,77243
64,97638
54,90138
25,90487
50,84242
51,100561
40,81745
45,101187
61,105223
58,91155
48,102168
39,89937
46,104359
36,92758
46,81647
48,86300
41,76578
26,84416
46,91759
42,96845
41,94922
50,95876
61,91211
43,78951
50,109147
37,86971
47,93537
40,94245
54,90568
37,93922
33,89223
34,96994
40,95512
36,86960
35,84096
58,83854
32,97146
26,92006
26,86588
52,95759
56,89963
57,98783
54,88843
33,98298
29,102856
63,79601
59,94094
52,121179
61,117716
40,72170
35,104004
53,107400
39,96434
25,100612
46,104135
28,102596
32,94047
54,87077
29,96148
35,80457
64,113657
61,79817
51,104728
34,103964
33,88913
46,86676
51,86140
38,105022
54,101737
62,98421
35,75629
38,96276
39,82960
37,105481
38,117506
26,102031
47,124959
61,111390
61,109898
32,87382
46,94212
37,99380
40,93496
40,81562
60,87893
46,106196
46,100175
28,85970
28,76151
29,103709
47,73239
51,85120
56,72412
61,115889
49,105809
61,100500
45,75462
65,83111
49,85198
51,111722
33,100498
53,94763
49,89061
33,77474
53,81998
60,97631
40,85048
45,100463
38,80066
47,88234
36,91160
40,93517
54,97048
58,102891
63,91466
39,77316
39,97226
31,85599
63,87776
39,97691
64,98060
47,106131
31,81952
51,80403
57,91401
29,92271
61,115407
54,71332
50,92666
49,119294
39,119197
52,101651
26,78420
38,107184
62,98273
55,85271
60,77343
55,92221
62,101513
49,85736
28,109021
50,80296
56,110828
38,91799
58,88259
34,103859
56,88844
51,92383
54,74262
28,104667
58,110549
28,107880
62,85172
32,109052
30,98330
59,89144
41,98168
49,104153
57,99331
36,82237
29,87220
41,102876
29,115775
34,87258
37,102635
25,83300
26,76516
51,92432
61,99369
63,105633
60,84961
60,105636
29,90655
55,97935
34,110093
62,99033
64,91068
61,94935
35,84975
37,98721
55,114136
33,73502
26,110758
27,94824
35,87127
60,79547
36,104838
56,92688
49,111140
48,89503
56,78061
51,112999
29,95794
53,119410
48,90217
55,78101
52,84422
54,108585
26,90213
47,95364
27,112145
47,106299
47,93302
49,101633
34,86255
54,94774
57,99976
43,109921
43,113246
35,83183
52,121343
26,103312
44,82006
50,97502
30,82370
52,106571
53,98443
26,97086
50,84715
59,92707
50,81808
27,112147
36,107693
30,84927
59,92147
64,77536
58,109111
55,96677
57,111203
37,113157
31,80206
35,90942
29,111976
39,95681
56,100824
50,102833
32,95367
40,71938
53,99648
53,74470
60,107441
56,88353
27,99428
63,85345
56,81684
35,119862
59,101217
40,125396
35,102530
65,85734
40,111705
44,102243
56,90017
38,113298
28,90402
55,93739
62,102919
37,96944
40,99396
53,84690
42,110662
31,86663
60,92184
26,91808
44,123522
64,108279
51,99601
44,91022
46,82011
35,109686
60,95582
50,90926
42,78283
41,101296
31,99506
32,114902
59,86422
45,102725
44,94961
50,107010
30,99424
48,81685
54,98071
48,95153
27,99969
42,111274
61,103312
27,100456
53,106731
64,96927
26,61326
32,111403
50,99072
31,109743
26,105549
33,101626
38,97671
35,83070
61,90920
26,90991
60,80666
30,80951
55,100296
58,85971
27,98532
51,104353
51,95259
26,120809
36,108938
37,86166
36,101741
30,91985
46,108088
48,84416
31,101047
